"","x"
"181",0.994811858258983
"182",-0.369819197715949
"183",-0.714562318316096
"184",1
"185",-1
"186",-0.583920132570255
"187",-0.0776139089798409
"188",0.0262984008207519
"189",0.00837529317721556
"190",-0.393813520633116
"191",0.22433019118295
"192",-0.198968316937037
"193",0.917907182921458
"194",0.134360697993105
"195",-1
"196",0.0282033657670652
"197",0.0765397887578358
"198",0.813680205483438
"199",-0.794288372666235
"200",-0.277465616493104
"201",0.379764484980662
"202",-0.39233273193735
"203",0.142933815222258
"204",-0.695173733196905
"205",0.20806976572776
"206",-0.140058601754295
"207",0.0861436708025854
"208",0
"209",0.278077665141517
"210",0
"211",0.270993980107783
"212",-0.171406502425908
"213",-0.0665158090734521
"214",0
"215",-0.649326677335946
"216",0.311410566999203
"217",0.832547084596052
"218",0
"219",0.170469248311643
"220",0.050908842707087
"221",-0.586764085818189
"222",-0.583577078268964
"223",1
"224",0.767187997294911
"225",0.203567673443988
"226",-0.0690384165116204
"227",0.0709266439540679
"228",-0.364271429275332
"229",0.656822103284519
"230",-1
"231",NA
"232",0.762509548890482
"233",0.450723403580806
"234",0.748737523948082
"235",NA
"236",-0.366902863291248
"237",0.324375098372149
"238",0.374918556009461
"239",-0.276922615342501
"240",0.975978364470472
"241",0.472562205151898
"242",0.87204908354405
"243",-0.435071591511366
"244",0.556065213749316
"245",0.614651417170197
"246",-0.471375569060115
"247",0.671027770733372
"248",0.900061744377532
"249",0.747059968487549
"250",0.467235185442317
"251",-0.0218208268591764
"252",-0.409064065635222
"253",-0.633132858646912
"254",-0.113748637732027
"255",1
"256",-0.342060697593808
"257",-0.681867707668144
"258",-0.951304571581134
"259",-0.111906864098645
"260",0.514461181041111
"261",-0.942364361518176
"262",0
"263",-0.182054051356208
"264",NA
"265",0.756809587729918
"266",-0.204385538621041
"267",0.0657198962062003
"268",-0.104435144595932
"269",0.497115076648333
"270",0.970991835621882
"271",-0.0788564188536318
"272",0.13547549290271
"273",-0.286354265559734
"274",-0.0741623904437594
"275",-0.234109422642349
"276",0.276093953736296
"277",0.290226180099758
"278",0
